"060040200013";0;1;"2020-02-17";1;"1605";1;4;0;2;1;2;508;0;0;0;1750;3;1;01;1;1;1;3;1;0;0;00;1;02;00;;5;19;"18";3;0;1;0;1;1;800;3;1;1;"-618694,447";"-1151359,435";"-618694,447";"-1151359,435";"-618693,995";"-1151358,499";"";"";"";"dálnice";"D1";"3072854";"";"Souhlasnýsesmìremúseku";"Pomalý";"582964";"";"GN_V0.1UIR-ADR_410";"2"
"060040200014";0;1;"2020-02-19";3;"2560";2;0;0;2;1;0;508;0;0;0;200;2;1;01;1;4;1;0;0;0;0;09;1;02;00;;17;;"XX";;;;;;;0;;;;"-607743,306";"-1161032,194";"-607768,015";"-1161054,217";"-607772,054";"-1161062,272";"";"";"";"dálnice";"D1";"719852";"";"Souhlasnýsesmìremúseku";"Pomalý";"583669";"";"GN_V0.1UIR-ADR_410";"2"
"060040200015";0;1;"2020-01-01";3;"2560";3;0;4;2;1;0;508;0;0;0;150;3;1;01;1;6;1;5;1;0;0;00;1;01;00;;17;;"XX";;;;;;;0;;;;"-618512,153";"-1151440,512";"-618512,153";"-1151440,512";"-618511,465";"-1151438,817";"";"";"";"dálnice";"D1";"3512825";"";"Souhlasnýsesmìremúseku";"Pomalý";"582964";"";"GN_V0.1UIR-ADR_410";"2"
"060040200016";0;1;"2020-01-01";3;"2560";3;0;4;2;1;0;508;0;0;0;250;3;1;01;1;6;1;5;1;0;0;00;1;01;00;;17;;"XX";;;;;;;0;;;;"-617847,785";"-1151616,503";"-617847,785";"-1151616,503";"-617846,32";"-1151606,146";"";"";"";"dálnice";"D1";"3072852";"";"Souhlasnýsesmìremúseku";"Pomalý";"582964";"";"GN_V0.1UIR-ADR_410";"2"
"060040200017";0;1;"2020-01-01";3;"2560";3;0;4;2;1;0;508;0;0;0;150;2;1;01;1;6;1;5;1;0;0;00;1;01;00;;17;;"XX";;;;;;;0;;;;"-607644,293";"-1161110,869";"-607656,12";"-1161124,309";"-607656,05";"-1161124,188";"";"";"";"dálnice";"D1";"3512806";"";"Opaènýkesmìruúseku";"Pomalý";"583669";"";"GN_V0.1UIR-ADR_410";"2"
"060040200018";0;1;"2020-01-01";3;"2560";3;0;4;2;1;0;508;0;0;0;170;2;1;01;1;6;1;5;1;0;0;00;1;01;00;;17;;"XX";;;;;;;0;;;;"-608234,932";"-1160855,319";"-608234,932";"-1160855,319";"-608235,749";"-1160857,386";"";"";"";"dálnice";"D1";"3532104";"";"Opaènýkesmìruúseku";"Pomalý";"583669";"";"GN_V0.1UIR-ADR_410";"2"
"060040200019";0;1;"2020-01-01";3;"2560";3;0;4;2;1;0;508;0;0;0;50;3;1;01;1;6;1;5;1;0;0;00;1;01;00;;17;;"XX";;;;;;;0;;;;"-610549,806";"-1159751,093";"-610549,806";"-1159751,093";"-610553,258";"-1159755,514";"";"";"";"dálnice";"D1";"3513818";"";"Opaènýkesmìruúseku";"Pomalý";"583545";"";"GN_V0.1UIR-ADR_410";"2"
"060040200020";0;1;"2020-01-01";3;"2560";3;0;4;2;1;0;508;0;0;0;350;3;1;01;1;6;1;5;1;0;0;00;1;01;00;;17;;"XX";;;;;;;0;;;;"-612236,634";"-1156809,463";"-612236,634";"-1156809,463";"-612241,713";"-1156813,963";"";"";"";"dálnice";"D1";"3532109";"";"Opaènýkesmìruúseku";"Pomalý";"583600";"";"GN_V0.1UIR-ADR_410";"2"
"060040200021";0;1;"2020-02-20";4;"1045";1;4;0;2;1;2;503;0;0;0;1700;3;1;01;1;1;1;3;1;0;0;00;1;02;00;;5;26;"17";3;0;1;0;1;3;800;3;1;1;"-613133,825";"-1156130,975";"-613133,825";"-1156130,975";"-613138,247";"-1156137,869";"";"";"";"dálnice";"D1";"3072845";"";"Souhlasnýsesmìremúseku";"Pomalý";"583839";"";"GN_V0.1UIR-ADR_410";"2"
"060040200022";0;1;"2020-01-01";3;"2560";3;0;4;2;1;0;508;0;0;0;170;3;1;01;1;6;1;5;1;0;0;00;1;01;00;;17;;"XX";;;;;;;0;;;;"-613911,047";"-1155222,725";"-613911,047";"-1155222,725";"-613921,885";"-1155228,02";"";"";"";"dálnice";"D1";"3072847";"";"Opaènýkesmìruúseku";"Pomalý";"583839";"";"GN_V0.1UIR-ADR_410";"2"
"060040200023";0;1;"2020-01-01";3;"2560";3;0;4;2;1;0;508;0;0;0;280;3;1;01;1;6;1;5;1;0;0;00;1;01;00;;17;;"XX";;;;;;;0;;;;"-615242,24";"-1153237,994";"-615242,24";"-1153237,994";"-615247,976";"-1153243,125";"";"";"";"dálnice";"D1";"1322185";"";"Opaènýkesmìruúseku";"Pomalý";"583154";"";"GN_V0.1UIR-ADR_410";"2"
"060040200024";0;1;"2020-02-21";5;"1602";1;4;0;1;1;2;508;0;1;1;10700;3;1;01;1;1;1;3;1;0;0;00;1;02;00;;3;47;"19";8;0;1;1;3;1;10000;3;1;1;"-608124,128";"-1160915,385";"-608124,128";"-1160915,385";"-608123,917";"-1160914,868";"";"";"";"dálnice";"D1";"3073027";"";"Souhlasnýsesmìremúseku";"Pomalý";"583669";"";"GN_V0.1UIR-ADR_410";"2"
"060040200025";0;1;"2020-02-22";6;"0425";3;0;3;2;1;2;508;0;0;0;600;3;1;01;1;6;1;3;1;0;0;00;1;01;00;;6;26;"18";3;0;1;0;1;3;500;3;1;1;"-609795,583";"-1160217,28";"-609795,583";"-1160217,28";"-609799,2";"-1160225,03";"";"";"";"dálnice";"D1";"1416952";"";"Souhlasnýsesmìremúseku";"Pomalý";"583545";"";"GN_V0.1UIR-ADR_410";"2"
"060040200026";0;1;"2020-02-25";2;"1435";0;0;0;2;7;0;608;0;0;0;200;3;1;01;0;1;1;3;1;0;0;00;1;02;00;;17;;"XX";;;;;;;0;;;;"-607689,544";"-1161084,865";"-607698,682";"-1161100,452";"-607698,855";"-1161100,772";"";"";"";"dálnice";"D1";"3512806";"";"Opaènýkesmìruúseku";"Pomalý";"583669";"";"GN_V0.1UIR-ADR_410";"2"
"060040200027";0;1;"2020-02-25";2;"2155";0;0;0;2;7;0;605;0;0;0;500;3;1;01;1;6;1;3;1;0;0;00;1;01;00;;7;26;"18";3;0;1;0;1;1;0;3;1;1;"-617593,783";"-1151651,186";"-617593,783";"-1151651,186";"-617592,492";"-1151642,062";"";"";"";"dálnice";"D1";"3072852";"";"Souhlasnýsesmìremúseku";"Pomalý";"582964";"";"GN_V0.1UIR-ADR_410";"2"
"060040200028";0;1;"2020-03-02";1;"0815";0;0;0;2;6;0;100;0;0;0;250;3;0;08;1;1;1;3;1;0;0;00;1;02;00;;3;26;"18";3;0;0;0;1;1;150;2;1;1;"-617831,247";"-1151597,652";"-617831,247";"-1151597,652";"-617831,015";"-1151596,006";"";"";"";"dálnice";"D1";"3072853";"";"Souhlasnýsesmìremúseku";"Pomalý";"582964";"";"GN_V0.1UIR-ADR_410";"2"
"060040200029";0;1;"2020-03-02";1;"1900";0;0;0;2;7;0;605;0;0;0;2400;3;1;01;1;6;1;3;1;0;0;00;1;09;00;;7;48;"17";9;0;1;0;1;3;0;4;1;1;"-619926,37";"-1150396,039";"-619946,849";"-1150426,757";"-619947,068";"-1150427,028";"";"";"";"dálnice";"D1";"1416907";"";"Souhlasnýsesmìremúseku";"Pomalý";"583294";"";"GN_V0.1UIR-ADR_410";"2"
"060040200030";0;1;"2020-03-06";5;"0715";3;0;9;2;1;0;508;0;0;0;500;3;3;01;4;3;1;3;1;0;0;09;1;01;00;;17;;"XX";;;;;;;0;;;;"-605323,108";"-1162335,487";"-605338,2";"-1162353,812";"-605338,069";"-1162353,604";"";"";"";"dálnice";"D1";"637667";"";"Opaènýkesmìruúseku";"Pomalý";"584029";"";"GN_V0.1UIR-ADR_410";"2"
"060040200031";0;1;"2020-03-06";5;"2360";0;0;0;2;5;0;100;0;0;0;150;3;3;01;4;7;1;3;1;0;0;00;1;02;00;;17;;"XX";;;;;;;0;;;;"-614966,192";"-1153640,454";"-614966,192";"-1153640,454";"-614960,266";"-1153636,827";"";"";"";"dálnice";"D1";"3072866";"";"Souhlasnýsesmìremúseku";"Rychlý";"549789";"";"GN_V0.1UIR-ADR_410";"2"
"060040200032";0;1;"2020-03-07";6;"2235";3;0;4;1;1;7;203;0;0;2;400;3;1;01;1;6;1;3;1;0;0;00;1;01;00;;3;25;"95";1;0;1;0;1;3;200;7;4;1;"-609122,173";"-1160497,344";"-609122,173";"-1160497,344";"-609125,073";"-1160504,646";"";"";"";"dálnice";"D1";"1730556";"";"Souhlasnýsesmìremúseku";"Rychlý";"583669";"";"GN_V0.1UIR-ADR_410";"2"
"060040200033";0;1;"2020-03-06";5;"2560";3;0;4;2;1;0;508;0;0;0;250;3;1;01;1;1;1;3;1;0;0;00;1;01;00;;17;;"XX";;;;;;;0;;;;"-617061,165";"-1151713,308";"-617061,165";"-1151713,308";"-617062,949";"-1151720,422";"";"";"";"dálnice";"D1";"3072853";"";"Souhlasnýsesmìremúseku";"Pomalý";"582964";"";"GN_V0.1UIR-ADR_410";"2"
