"002100200005";2;9;0;00
"002100200017";2;1;1;04
"002100200021";2;2;3;00
"002100200048";3;2;2;04
"002100200072";1;9;3;02
"002100200076";1;1;1;04
"002100200102";5;0;0;00
"002100200119";1;1;1;04
"002100200135";2;2;3;00
"002100200173";2;1;3;00
"002100200206";5;0;0;00
"002100200210";1;9;1;04
"002100200309";3;2;4;02
"002100200314";2;1;1;04
"002100200317";2;1;1;04
"002100200324";2;1;1;04
"002100200355";2;1;1;00
"002100200405";2;1;0;00
"002100200406";1;1;7;04
"002100200415";3;1;1;04
"002100200441";2;1;1;04
"002100200603";1;1;1;04
"002100200670";1;2;5;10
"002100200762";1;9;6;00
"002100200763";1;1;1;01
"002100200776";2;2;3;03
"002100200781";1;1;1;08
"002100200811";2;1;1;04
"002100200818";2;2;2;05
"002100200837";2;9;3;02
"002100200857";2;1;1;04
"002100200884";2;3;2;00
"002100200886";1;9;7;07
"002100200897";2;1;0;04
"002100200916";1;1;1;01
"002100200922";5;0;0;00
"002100200949";2;2;2;10
"002100200957";5;0;0;00
"002100200964";2;1;1;04
"002100200983";2;1;1;04
"002100200991";1;2;3;00
"002100201028";2;1;1;07
"002100201194";1;1;1;00
"002100201196";5;0;0;00
"002100201243";2;2;3;00
"002100201293";1;1;1;04
"002100201341";1;4;1;04
"002100201364";2;2;3;04
"002100201382";1;9;2;00
"002100201429";1;1;1;07
"002100201461";1;1;1;04
"002100201497";2;1;1;01
"002100201503";1;2;3;00
"002100201512";5;0;0;00
"002100201520";5;0;0;00
"002100201532";2;1;1;04
"002100201644";2;0;0;00
"002100201671";5;0;0;00
"002100201676";5;0;0;00
"002100201683";2;1;1;04
"002100201687";2;1;1;01
"002100201689";1;2;3;06
"002100201720";5;0;0;00
"002100201723";3;1;1;04
"002100201724";1;1;1;04
"002100201757";5;0;0;00
"002100201778";5;0;0;00
"002100201788";1;1;2;10
"002100201897";3;1;1;04
"002100201913";5;0;0;00
"002100201944";2;1;1;04
"002100201952";1;1;1;04
"002100201967";2;1;1;01
"002100202052";1;1;1;04
"002100202063";1;1;1;04
"002100202085";1;2;3;00
"002100202144";2;2;5;00
"002100202233";1;1;4;02
"002100202250";2;1;3;02
"002100202286";2;1;1;04
"002100202290";2;2;3;02
"002100202328";2;2;3;02
"002100202408";2;1;0;04
"002100202433";1;1;1;00
"002100202468";5;0;0;00
"002100202508";1;2;3;00
"002100202512";3;1;7;06
"002100202513";1;1;1;08
"002100202522";5;0;0;00
"002100202582";1;9;1;04
"002100202591";2;1;1;01
"002100202595";2;2;3;02
"002100202629";1;2;3;00
"002100202668";1;1;1;09
"002100202672";5;0;0;00
"002100202726";1;1;2;04
"002100202743";1;2;3;00
"002100202765";2;1;1;04
"002100202771";1;1;1;04
"002100202801";1;1;1;00
"002100202806";3;1;1;04
"002100202809";1;1;1;00
"002100202811";1;9;0;00
"002100202900";1;1;1;04
"002100202944";1;2;4;10
"002100202974";1;1;1;04
"002100203009";5;0;0;00
"002100203031";1;1;1;04
"002100203208";2;2;3;00
"002100203244";2;1;1;04
"002100203253";1;2;3;00
"002100203279";3;1;1;01
"002100203332";1;2;3;00
"002100203340";5;0;0;00
"002100203379";2;1;1;01
"002100203411";1;2;3;04
"002100203415";2;2;3;00
"002100203433";5;0;0;00
"002100203453";1;1;1;07
"002100203469";3;1;1;04
"002100203486";5;0;0;00
"002100203516";2;1;1;01
"002100203591";2;1;1;04
"002100203594";2;1;1;04
"002100203651";2;1;1;04
"002100203678";5;0;0;00
"002100203705";5;0;0;00
"002100204046";1;2;3;00
"002100204059";2;1;1;04
"002100204175";1;2;2;00
"002100204224";3;2;7;10
"002100204296";3;2;5;04
"002100204315";1;0;1;04
"002100204373";5;0;0;00
"002100204461";5;0;0;00
"002100204532";2;1;1;04
"002100204672";2;1;1;07
"002100204819";2;4;3;03
"002100204824";2;1;1;00
"002100204873";1;1;1;04
"002100204878";1;0;0;00
"002100205002";1;4;1;01
"002100205010";1;2;4;04
"002100205048";1;1;1;04
"002100205175";1;9;7;00
"002100205189";1;1;4;10
"002100205219";2;1;1;04
"002100205367";1;1;1;00
"002100205421";2;1;1;04
"002100205433";2;1;1;00
"002100205527";2;0;2;04
"002100205538";1;9;4;02
"002100205621";3;1;1;04
"002100205653";1;1;1;00
"002100205700";2;1;1;04
"002100205784";1;2;6;10
"002100205800";2;2;3;00
"002100205803";2;1;1;04
"002100205835";1;1;1;00
"002100205858";1;1;1;01
"002100205866";1;1;1;04
"002100205882";1;1;1;00
"002100206089";2;1;1;04
"002100206110";1;9;1;10
"002100206203";1;1;1;04
"002100206266";1;1;1;04
"002100206268";1;1;2;04
"002100206279";5;0;0;00
"002100206294";2;1;1;01
"002100206346";5;0;0;00
"002100206383";3;1;1;08
"002100206396";1;9;3;01
"002100206407";2;1;1;07
"002100206420";1;1;1;00
"002100206421";1;1;1;07
"002100206437";3;1;1;01
"002100206441";2;2;3;00
"002100206469";1;1;1;01
"002100206489";1;1;0;00
"002100206541";2;1;1;04
"002100206581";2;1;1;00
"002100206591";1;0;0;10
"002100206607";1;4;3;00
"002100206622";2;2;3;00
"002100206699";5;0;0;00
"002100206712";3;2;3;00
"002100206717";5;0;0;00
"002100206741";2;1;1;07
"002100206835";1;2;3;03
"002100206875";5;0;0;00
"002100206885";2;1;1;04
"002100206921";1;1;3;07
"002100206954";3;1;1;01
"002100206961";1;2;4;00
"002100207000";1;1;1;00
"002100207002";2;1;1;00
"002100207012";2;2;6;00
"002100207050";3;2;3;00
"002100207061";2;1;1;04
"002100207073";1;1;1;00
"002100207082";3;2;3;04
"002100207156";2;1;3;10
"002100207182";1;1;1;04
"002100207208";2;1;1;00
"002100207225";3;1;1;00
"002100207251";2;1;1;04
"002100207290";2;1;1;01
"002100207328";2;1;1;00
"002100207337";1;1;1;00
"002100207369";2;1;1;00
"002100207447";1;1;5;00
"002100207460";1;1;1;04
"002100207531";2;1;3;10
"002100207548";1;1;1;00
"002100207571";3;2;3;00
"002100207614";2;2;3;00
"002100207723";2;2;3;00
"002100207752";1;8;0;00
"002100207778";1;9;3;02
"002100207830";2;1;1;00
"002100207904";1;1;1;00
"002100207957";2;1;1;04
"002100207996";3;1;7;02
"002100208127";2;1;1;10
"002100208135";2;1;1;10
"002100208160";1;1;1;00
"002100208198";5;0;0;00
"002100208223";5;0;0;00
"002100208357";1;1;1;07
"002100208378";1;2;3;00
"002100208400";1;9;6;00
"002100208404";2;2;3;02
"002100208435";3;1;1;04
"002100208457";2;2;4;02
"002100208468";2;2;3;02
"002100208470";1;2;3;02
"002100208596";1;1;1;04
"002100208597";3;2;3;00
"002100208624";5;0;0;00
"002100208772";2;2;4;02
"002100208785";2;1;1;04
"002100208802";1;1;1;08
"002100208813";5;0;0;00
"002100208829";1;9;3;00
"002100208867";1;1;3;02
"002100208868";3;2;3;06
"002100208877";1;0;1;00
"002100208885";2;2;3;10
"002100208948";1;1;1;00
"002100208974";3;2;3;00
"002100208992";1;1;1;00
"002100209020";2;1;1;07
"002100209048";1;0;0;10
"002100209205";1;9;3;00
"002100209228";1;2;4;05
"002100209290";5;0;0;00
"002100209358";5;0;0;00
"002100209377";3;1;1;07
"002100209393";1;9;7;00
"002100209456";5;0;0;00
"002100209459";1;1;1;00
"002100209482";5;0;0;00
"002100209510";5;0;0;00
"002100209542";2;1;1;04
"002100209568";2;1;1;04
"002100209711";1;1;1;04
"002100209735";2;1;1;04
"002100209752";2;1;1;04
"002100209754";2;1;1;04
"002100209823";1;1;2;09
"002100209825";2;1;1;04
"002100209968";1;1;1;04
"002100209986";3;2;3;02
"003100200027";2;1;1;01
"003100200061";1;1;1;00
"003100200152";1;1;1;01
"003100200169";1;2;3;00
"003100200188";5;0;0;00
"003100200223";1;2;3;06
"003100200255";2;1;1;01
"003100200432";2;1;1;01
"003100200518";1;1;1;00
"003100200525";2;0;0;04
"003100200527";1;0;0;00
"003100200546";2;0;0;10
"003100200581";3;1;3;10
"003100200629";3;1;1;00
"003100200659";2;1;1;04
"003100200695";1;1;1;04
"003100200706";3;2;3;05
"003100200739";2;1;1;04
"003100200749";2;1;1;04
"003100200774";5;0;0;00
"003100200790";1;2;3;00
"003100200891";5;0;0;00
"003100200945";2;1;1;01
"003100200968";1;0;0;00
"003100200975";2;2;3;00
"003100200992";2;1;1;04
"003100201003";1;1;1;08
"003100201020";2;1;1;04
"003100201092";1;1;1;00
"003100201099";2;1;1;04
"003100201117";1;1;1;01
"003100201254";2;1;2;10
"010042202097";2;0;0;00
"010106200076";1;9;2;10
"010106200109";1;6;3;10
"010106200199";1;5;1;07
"010106200228";3;2;3;00
"010106200433";2;1;1;08
"010106200640";1;1;3;10
"010106200655";3;1;0;09
"010106200838";5;1;1;04
"010106200865";1;0;0;10
"010106200915";3;1;0;00
"010206200010";2;1;3;00
"010206200016";3;1;1;04
"010206200024";2;1;7;10
"010206200067";5;0;0;00
"010206200078";2;1;6;06
"010206200170";2;1;1;01
"010206200172";2;9;0;00
"010206200173";1;1;1;00
"010206200258";1;9;7;00
"010206200289";3;2;3;10
"010206200324";2;1;1;08
"010206200374";3;1;3;00
"010206200375";1;1;3;10
"010206200386";4;1;6;09
"010206200395";1;0;0;00
"010306200015";3;1;7;05
"010306200021";1;1;1;10
"010306200069";5;0;1;04
"010306200089";1;4;1;04
"010306200098";1;1;1;06
"010306200117";1;1;1;04
"010306200148";3;1;7;10
"010306200149";2;1;1;04
"010306200152";2;1;1;04
"010306200184";2;2;3;04
"010306200216";1;1;1;01
"010306200218";3;1;7;04
"010306200243";2;1;1;00
"010306200259";2;1;1;03
"010306200328";3;1;1;04
"010306200434";1;1;1;04
"010306200444";1;1;1;04
"010306200475";5;1;1;00
"010306200505";3;1;1;10
"010306200542";2;1;1;04
"010306200637";1;4;0;09
"010306200658";2;1;3;10
"010306200673";2;1;1;04
"010406200005";1;1;1;04
"010406200017";5;1;1;04
"010406200022";2;1;1;01
"010406200037";2;0;0;09
"010406200050";3;1;2;04
"010406200064";2;1;1;04
"010406200124";2;1;1;04
"010406200153";1;4;3;10
"010406200162";2;2;0;01
"010406200177";5;1;1;09
"010406200219";3;0;1;00
"010406200249";1;9;1;10
"010406200294";2;1;1;04
"010406200437";1;1;1;04
"010406200527";1;2;6;09
"010406200580";1;1;5;00
"010406200591";3;1;3;00
"010506200084";2;1;2;10
"010506200176";1;1;3;10
"010506200212";1;2;5;06
"010506200340";1;9;0;07
"010506200538";2;1;1;04
"010606200038";1;9;3;10
"010606200101";3;1;3;06
"010606200102";2;1;1;04
"010606200105";2;1;1;07
"010606200143";1;1;0;09
"010606200251";2;1;3;00
"010606200257";1;0;2;10
"010606200319";2;9;5;10
"010606200447";2;1;7;00
"010606200459";2;1;1;04
"010606200464";2;1;1;00
"010606200496";2;1;1;04
"010606200505";2;1;1;05
"010706200031";3;2;3;06
"010706200032";2;0;0;09
"010706200052";3;0;0;02
"010706200083";1;1;1;01
"010706200115";2;1;3;02
"010706200182";3;1;7;10
"010706200230";1;1;1;04
"010706200247";2;0;0;01
"010706200250";1;1;1;04
"010706200492";5;3;0;00
"010706200652";1;1;1;04
"010706200746";2;1;3;04
"010706200751";2;1;1;04
"010706200785";5;1;1;04
"010706200858";5;1;3;10
"010806200020";2;5;0;10
"010806200029";2;1;1;08
"010806200071";2;1;1;04
"010806200080";5;1;1;04
"010806200127";1;1;1;00
"010806200231";2;1;1;04
"010806200427";1;1;1;09
"010806200436";3;1;1;04
"010806200494";2;1;1;06
"010806200525";3;2;6;00
"011106200056";2;1;1;07
"011106200153";1;1;1;00
"011106200235";5;0;0;00
"011106200239";1;1;1;04
"011106200426";2;1;1;04
"011106200495";2;4;0;00
"011106200566";1;1;0;00
"011106200748";2;1;3;04
"011106200898";2;0;3;10
"011106200903";3;2;3;00
"011206200038";1;1;2;04
"011206200289";3;1;1;04
"011206200513";2;1;1;04
"011406200056";1;1;1;00
"011406200095";1;9;6;09
"011406200127";1;1;1;04
"011406200129";5;2;3;10
"011406200192";2;1;6;09
"011406200196";2;1;1;07
"011406200206";5;1;1;07
"011406200238";1;9;3;00
"011406200252";3;1;1;04
"011406200272";1;1;1;04
"011406200359";2;1;1;04
"011406200469";1;9;1;07
"011506200008";2;1;1;01
"011506200030";3;1;0;00
"011506200041";3;1;0;02
"011506200051";2;2;3;10
"011506200052";2;1;1;04
"011506200062";2;1;1;00
"011506200065";1;0;0;04
"011506200074";2;1;1;04
"011506200085";2;1;1;08
"011506200138";3;1;5;07
"011506200145";1;0;1;04
"011506200173";1;1;0;00
"011506200435";1;1;1;00
"011606200049";5;1;0;00
"011606200092";1;0;0;00
"011606200100";2;1;1;04
"011606200114";2;1;1;00
"011606200190";1;1;1;10
"011606200217";3;1;5;10
"011606200260";1;1;1;00
"011606200348";3;1;5;00
"011606200356";2;1;2;00
"011606200382";3;1;5;10
"011606200516";2;1;1;00
"011606200530";3;1;1;04
"020106200025";1;1;0;01
"020106200034";2;1;1;01
"020106200050";2;1;1;01
"020106200060";1;1;3;02
"020106200073";2;1;1;06
"020106200080";1;1;4;02
"020106200119";1;2;2;00
"020106200132";1;1;0;08
"020106200149";1;1;1;00
"020106200160";3;2;1;01
"020106200200";2;1;1;04
"020106200267";1;9;4;10
"020106200268";1;1;0;08
"020106200277";3;1;3;10
"020106200287";3;2;3;10
"020106200295";3;0;0;00
"020106200303";1;1;1;00
"020106200305";1;9;0;08
"020106200311";2;1;1;07
"020106200358";1;1;1;00
"020106200367";2;1;0;10
"020106200388";2;1;1;00
"020106200402";2;1;1;10
"020106200439";3;1;1;08
"020106200440";2;1;1;07
"020106200442";1;1;3;10
"020106200450";2;1;1;00
"020106200490";2;1;1;08
"020106200499";3;1;1;04
"020106200503";1;1;1;04
"020106200516";2;1;0;00
