"190206200001";1;21;"2020-01-01";3;"1030";9;0;0;2;1;9;501;0;0;0;200;2;1;01;1;1;1;2;1;0;0;00;3;01;00;;3;47;"";1;0;1;0;1;3;200;2;5;1;"";"";"-877348,278";"-1028489,423";"-877348,823";"-1028489,406";"";"";"";"silnice1.tøídy";"21";"2624837";"";"Opaènýkesmìruúseku";"Pomalý";"554502";"";"GN_V0.1UIR-ADR_410";"2"
"190206200002";1;21;"2020-01-01";3;"1520";3;0;4;2;1;2;204;0;0;0;650;2;5;01;6;1;1;2;1;3;3;00;5;01;19;3;3;12;"";1;1;1;0;1;21;500;3;1;1;"";"";"-874895,129";"-1032177,768";"-874896,186";"-1032178,266";"";"";"";"silnice1.tøídy";"21";"3304319";"";"Opaènýkesmìruúseku";"Pomalý";"554502";"";"GN_V0.1UIR-ADR_410";"2"
"190206200003";1;21;"2020-01-01";3;"1510";1;1;0;2;1;2;501;0;0;0;1500;2;5;01;6;1;1;4;1;0;0;00;1;02;00;;3;12;"";9;0;1;1;1;3;700;3;1;1;"";"";"-870989,005";"-1036570,853";"-870997,801";"-1036580,433";"";"";"";"silnice1.tøídy";"21";"250681";"";"Opaènýkesmìruúseku";"Pomalý";"539112";"";"GN_V0.1UIR-ADR_410";"2"
"190206200004";3;2143;"2020-01-02";4;"2000";3;0;3;2;1;2;204;0;0;0;200;2;6;01;6;4;1;1;1;3;3;00;4;01;14;6;3;32;"02";1;1;1;0;1;14;150;3;1;1;"";"";"-888343,496";"-1023756,884";"-888343,677";"-1023757,935";"Cheb";"KHájùm";"";"silnice3.tøídy";"2143";"730162";"";"Souhlasnýsesmìremúseku";"Pomalý";"554481";"139173";"GN_V0.1UIR-ADR_410";"1"
"190206200005";6;;"2020-01-03";5;"0445";2;0;0;2;1;2;204;0;0;0;1500;1;6;01;6;5;2;0;1;3;3;00;5;03;10;6;3;17;"11";1;1;1;0;1;5;800;2;1;1;"";"";"-898076,328";"-1004075,052";"-898076,131";"-1004075,047";"Aš";"Kamenná";"";"místníkomunikace";"";"2626940";"";"Souhlasnýsesmìremúseku";"Pomalý";"554499";"136204";"GN_V0.1UIR-ADR_410";"1"
"190206200006";6;;"2020-01-03";5;"0510";3;0;2;2;1;2;204;0;0;0;2350;1;6;01;4;4;1;1;1;0;0;00;1;04;00;;8;59;"06";4;1;1;0;1;5;400;4;1;1;"";"";"-897785,196";"-1005203,658";"-897786,229";"-1005204,06";"Aš";"Nádražní";"";"místníkomunikace";"";"2628992";"";"Opaènýkesmìruúseku";"Pomalý";"554499";"136361";"GN_V0.1UIR-ADR_410";"1"
"190206200007";6;;"2020-01-08";3;"1330";4;0;0;1;3;2;100;0;1;0;0;2;3;01;3;1;1;1;1;0;0;10;1;01;00;;3;47;"16";1;0;1;0;1;5;0;2;1;1;"";"";"-888344,079";"-1022351,92";"-888341,227";"-1022352,831";"Cheb";"KNemocnici";"";"místníkomunikace";"";"1667753";"";"Opaènýkesmìruúseku";"Pomalý";"554481";"139190";"GN_V0.1UIR-ADR_410";"1"
"190206200008";6;;"2020-01-08";3;"1920";9;0;0;1;2;2;204;0;0;1;0;2;3;01;3;4;1;0;1;3;5;00;5;01;10;6;13;00;"";1;1;0;0;1;5;0;8;1;1;"";"";"-888631,726";"-1022357,671";"-888631,037";"-1022356,832";"Cheb";"Spálená";"";"místníkomunikace";"";"217148";"";"Souhlasnýsesmìremúseku";"Pomalý";"554481";"140031";"GN_V0.1UIR-ADR_410";"1"
"190206200009";6;;"2020-01-08";3;"2560";2;0;0;2;1;0;511;0;0;0;200;6;6;01;6;6;1;0;0;0;0;00;3;02;00;;17;;"XX";;;;;;;0;;;;"";"";"-867998,34";"-1031096,906";"-867998,373";"-1031096,842";"MariánskéLáznì";"";"";"místníkomunikace";"";"2252516";"";"Opaènýkesmìruúseku";"Pomalý";"554642";"";"GN_V0.1UIR-ADR_410";"1"
"190206200010";6;;"2020-01-09";4;"2560";2;0;0;2;1;0;508;0;0;0;200;1;3;01;3;1;1;0;0;0;0;00;1;02;00;;17;;"XX";;;;;;;0;;;;"";"";"-866713,804";"-1038400,056";"-866713,575";"-1038399,292";"MariánskéLáznì";"";"";"místníkomunikace";"";"825922";"";"Souhlasnýsesmìremúseku";"Pomalý";"554642";"";"GN_V0.1UIR-ADR_410";"1"
"190206200011";3;2118;"2020-01-09";4;"1805";9;0;0;2;1;2;511;0;0;0;1000;2;3;01;2;7;4;1;3;0;0;00;2;01;00;;3;08;"18";2;1;1;0;1;3;1000;3;1;1;"";"";"-872240,824";"-1032751,567";"-872240,289";"-1032753,264";"";"";"";"silnice3.tøídy";"2118";"2252083";"";"Souhlasnýsesmìremúseku";"Pomalý";"554600";"";"GN_V0.1UIR-ADR_410";"2"
"190206200012";2;213;"2020-01-10";5;"0540";1;2;0;2;1;2;501;0;0;0;2810;2;3;01;3;6;3;1;1;0;0;00;3;02;00;;3;39;"17";1;0;1;1;1;1;2000;2;1;1;"";"";"-888530,952";"-1012083,271";"-888530,631";"-1012081,98";"";"";"";"silnice2.tøídy";"213";"1595896";"";"Souhlasnýsesmìremúseku";"Pomalý";"554812";"";"GN_V0.1UIR-ADR_410";"2"
"190206200013";6;;"2020-01-10";5;"1160";2;0;0;2;1;0;508;0;0;0;100;1;3;01;3;1;1;1;2;0;0;00;1;02;00;;17;;"XX";;;;;;;0;;;;"";"";"-899222,752";"-1004428,156";"-899220,059";"-1004431,886";"Aš";"selbská";"";"místníkomunikace";"";"1795145";"";"Opaènýkesmìruúseku";"Pomalý";"554499";"";"GN_V0.1UIR-ADR_410";"1"
"190206200014";6;;"2020-01-10";5;"2205";4;0;0;1;3;2;100;0;0;1;0;2;3;01;3;4;1;1;1;0;0;00;1;01;00;;3;13;"09";1;0;1;0;1;5;0;3;1;1;"";"";"-898168,73";"-1004104,024";"-898168,522";"-1004103,941";"Aš";"Moravská";"";"místníkomunikace";"";"2626942";"";"Souhlasnýsesmìremúseku";"Pomalý";"554499";"136468";"GN_V0.1UIR-ADR_410";"1"
"190206200015";2;217;"2020-01-10";5;"2240";6;0;0;2;4;0;100;0;0;0;150;2;3;01;3;6;1;1;1;0;0;00;1;01;00;;3;25;"00";1;0;1;0;1;1;150;2;1;1;"";"";"-898416,784";"-994503,997";"-898412,752";"-994506,898";"";"";"";"silnice2.tøídy";"217";"2381268";"";"Souhlasnýsesmìremúseku";"Pomalý";"554553";"";"GN_V0.1UIR-ADR_410";"2"
"190206200016";3;2114;"2020-01-10";5;"2560";2;0;0;2;1;0;508;0;0;0;100;2;3;01;3;1;1;1;1;0;0;00;1;02;00;;17;;"XX";;;;;;;0;;;;"";"";"-866836,903";"-1039143,16";"-866839,576";"-1039143,523";"MariánskéLáznì";"Plzeòská";"";"silnice3.tøídy";"2114";"259393";"";"Opaènýkesmìruúseku";"Pomalý";"554642";"141968";"GN_V0.1UIR-ADR_410";"1"
